time, autocorrelation 
5446, -0.010374
5447, -0.010042
5448, -0.009726
5449, -0.009368
5450, -0.009081
5451, -0.008807
5452, -0.008535
5453, -0.008331
5454, -0.008074
5455, -0.007925
5456, -0.007743
5457, -0.007644
5458, -0.007395
5459, -0.007128
5460, -0.006709
5461, -0.006255
5462, -0.005815
5463, -0.005324
5464, -0.004960
5465, -0.004608
5466, -0.004235
5467, -0.003722
5468, -0.003171
5469, -0.002503
5470, -0.001815
5471, -0.001193
5472, -0.000665
5473, -0.000192
5474, 0.000289
5475, 0.000885
5476, 0.001636
5477, 0.002504
5478, 0.003338
5479, 0.004134
5480, 0.004838
5481, 0.005557
5482, 0.006217
5483, 0.006980
5484, 0.007722
5485, 0.008539
5486, 0.009378
5487, 0.010185
5488, 0.011067
5489, 0.011977
5490, 0.012947
5491, 0.013953
5492, 0.015007
5493, 0.015929
5494, 0.016837
5495, 0.017842
5496, 0.018862
5497, 0.020055
5498, 0.021150
5499, 0.022162
5500, 0.023105
5501, 0.024018
5502, 0.024942
5503, 0.025755
5504, 0.026487
5505, 0.027221
5506, 0.027899
5507, 0.028503
5508, 0.029069
5509, 0.029600
5510, 0.030065
5511, 0.030633
5512, 0.031281
5513, 0.031828
5514, 0.032305
5515, 0.032710
5516, 0.033148
5517, 0.033532
5518, 0.033867
5519, 0.034158
5520, 0.034523
5521, 0.034942
5522, 0.035305
5523, 0.035662
5524, 0.035838
5525, 0.035966
5526, 0.036206
5527, 0.036538
5528, 0.036898
5529, 0.037147
5530, 0.037351
5531, 0.037546
5532, 0.037714
5533, 0.037807
5534, 0.037915
5535, 0.037888
5536, 0.037804
5537, 0.037575
5538, 0.037315
5539, 0.037019
5540, 0.036619
5541, 0.036182
5542, 0.035605
5543, 0.035014
5544, 0.034347
5545, 0.033716
5546, 0.033042
5547, 0.032259
5548, 0.031486
5549, 0.030670
5550, 0.029835
5551, 0.028972
5552, 0.028089
5553, 0.027127
5554, 0.026329
5555, 0.025519
5556, 0.024591
5557, 0.023710
5558, 0.022907
5559, 0.022236
5560, 0.021521
5561, 0.020825
5562, 0.020101
5563, 0.019428
5564, 0.018847
5565, 0.018176
5566, 0.017399
5567, 0.016605
5568, 0.015907
5569, 0.015148
5570, 0.014247
5571, 0.013322
5572, 0.012419
5573, 0.011601
5574, 0.010803
5575, 0.009928
5576, 0.009191
5577, 0.008381
5578, 0.007684
5579, 0.007015
5580, 0.006290
5581, 0.005507
5582, 0.004875
5583, 0.004299
5584, 0.003636
5585, 0.002975
5586, 0.002351
5587, 0.001749
5588, 0.001197
5589, 0.000484
5590, -0.000234
5591, -0.000935
5592, -0.001616
5593, -0.002199
5594, -0.002772
5595, -0.003416
5596, -0.003976
5597, -0.004453
5598, -0.004952
5599, -0.005353
5600, -0.005762
5601, -0.006191
5602, -0.006627
5603, -0.007057
5604, -0.007513
5605, -0.007968
5606, -0.008574
5607, -0.009158
5608, -0.009550
5609, -0.009920
5610, -0.010328
5611, -0.010762
5612, -0.011141
5613, -0.011453
5614, -0.011649
5615, -0.011901
5616, -0.012226
5617, -0.012616
5618, -0.013005
5619, -0.013599
5620, -0.014231
5621, -0.014689
5622, -0.015004
5623, -0.015173
5624, -0.015222
5625, -0.015091
5626, -0.014905
5627, -0.014755
5628, -0.014617
5629, -0.014492
5630, -0.014269
5631, -0.013996
5632, -0.013713
5633, -0.013381
5634, -0.013001
5635, -0.012732
5636, -0.012532
5637, -0.012350
5638, -0.012148
5639, -0.011927
5640, -0.011663
5641, -0.011379
5642, -0.011119
5643, -0.010968
5644, -0.010746
5645, -0.010501
5646, -0.010278
5647, -0.009980
5648, -0.009670
5649, -0.009263
5650, -0.008907
5651, -0.008411
5652, -0.007884
5653, -0.007207
5654, -0.006412
5655, -0.005613
