time (ms), position (nm), velocity (mm/s), acceleration (Å/ps^2)
2.090000,-22.745630,0.656429,0.000000
2.095000,-19.575696,0.608733,0.000000
2.100000,-16.647402,0.560173,0.000000
2.105000,-14.480047,0.310389,0.000000
2.110000,-12.968320,0.292655,0.000000
2.115000,-11.046526,0.469107,0.000000
2.120000,-8.864837,0.402724,0.000000
2.125000,-7.085342,0.309401,0.000000
2.130000,-5.359550,0.377227,0.000000
2.135000,-3.815465,0.242198,0.000000
2.140000,-2.403867,0.318972,0.000000
2.145000,-0.885102,0.287816,0.000000
2.150000,0.874151,0.411042,-0.000000
2.155000,3.128246,0.486609,-0.000000
2.160000,6.051192,0.675163,-0.000000
2.165000,9.490498,0.697112,-0.000000
2.170000,12.840321,0.641616,-0.000000
2.175000,15.740830,0.519677,-0.000000
2.180000,18.804827,0.699234,-0.000000
2.185000,22.188693,0.653289,-0.000000
2.190000,24.603329,0.320007,-0.000000
2.195000,25.912075,0.206412,-0.000000
2.200000,26.610401,0.076877,-0.000000
2.205000,26.492625,-0.117568,-0.000000
2.210000,25.278794,-0.359319,-0.000000
2.215000,23.305174,-0.425368,-0.000000
2.220000,21.227676,-0.403145,-0.000000
2.225000,19.684140,-0.216612,-0.000000
2.230000,19.163400,0.004073,-0.000000
2.235000,18.037890,-0.440836,-0.000000
2.240000,15.545676,-0.550051,-0.000000
2.245000,12.539927,-0.646234,-0.000000
2.250000,9.554582,-0.547087,-0.000000
2.255000,7.419048,-0.310775,-0.000000
2.260000,5.509480,-0.447404,-0.000000
2.265000,4.458532,0.016316,-0.000000
2.270000,5.203752,0.274645,-0.000000
2.275000,7.480420,0.625142,-0.000000
2.280000,9.874501,0.338042,-0.000000
2.285000,11.650746,0.370462,-0.000000
2.290000,13.273981,0.280227,-0.000000
2.295000,14.032775,0.029694,-0.000000
2.300000,15.011009,0.353049,-0.000000
2.305000,16.148761,0.108047,-0.000000
2.310000,18.016532,0.624810,-0.000000
2.315000,20.208692,0.260302,-0.000000
2.320000,21.754149,0.355000,-0.000000
2.325000,22.757911,0.054387,-0.000000
2.330000,21.850944,-0.403426,-0.000000
2.335000,19.415810,-0.563192,-0.000000
2.340000,16.333613,-0.663310,-0.000000
2.345000,12.431724,-0.887271,-0.000000
2.350000,9.563170,-0.272727,-0.000000
2.355000,7.767867,-0.438984,-0.000000
2.360000,6.253882,-0.171718,-0.000000
2.365000,5.614395,-0.085404,-0.000000
2.370000,5.840433,0.169321,-0.000000
2.375000,7.038857,0.305712,-0.000000
2.380000,8.140047,0.138402,-0.000000
2.385000,7.817552,-0.256528,-0.000000
2.390000,5.966964,-0.475961,-0.000000
2.395000,4.128420,-0.262954,-0.000000
2.400000,2.163846,-0.514380,-0.000000
2.405000,0.067779,-0.326837,-0.000000
2.410000,-1.652494,-0.358854,0.000000
2.415000,-3.286038,-0.294786,0.000000
2.420000,-4.119887,-0.044590,0.000000
2.425000,-4.338589,-0.042933,0.000000
2.430000,-4.848616,-0.157858,0.000000
2.435000,-5.846974,-0.238716,0.000000
2.440000,-6.853871,-0.165290,0.000000
2.445000,-7.880829,-0.242880,0.000000
2.450000,-9.445393,-0.378393,0.000000
2.455000,-11.630855,-0.491324,0.000000
