time (ms), position (nm), velocity (mm/s), acceleration (Å/ps^2)
2.325000,-27.232077,0.127585,0.000000
2.330000,-25.989151,0.365955,0.000000
2.335000,-23.981337,0.434284,0.000000
2.340000,-21.913596,0.390850,0.000000
2.345000,-19.213672,0.683742,0.000000
2.350000,-15.351847,0.855589,0.000000
2.355000,-11.104888,0.839094,0.000000
2.360000,-6.956892,0.816219,0.000000
2.365000,-2.707590,0.878862,0.000000
2.370000,2.123961,1.047738,-0.000000
2.375000,7.214196,0.984143,-0.000000
2.380000,11.628339,0.779218,-0.000000
2.385000,15.879229,0.916165,-0.000000
2.390000,20.029648,0.741834,-0.000000
2.395000,23.709194,0.726973,-0.000000
2.400000,27.077633,0.618537,-0.000000
2.405000,30.422747,0.715972,-0.000000
2.410000,33.777981,0.624234,-0.000000
2.415000,36.010912,0.270385,-0.000000
2.420000,36.822222,0.055777,-0.000000
2.425000,37.080561,0.047974,-0.000000
2.430000,37.175445,-0.009029,-0.000000
2.435000,37.414973,0.104253,-0.000000
2.440000,37.832897,0.063472,-0.000000
2.445000,37.715090,-0.108416,-0.000000
2.450000,37.041065,-0.159519,-0.000000
2.455000,35.699711,-0.373351,-0.000000
2.460000,33.645312,-0.445292,-0.000000
2.465000,31.236594,-0.514799,-0.000000
2.470000,28.926800,-0.407355,-0.000000
2.475000,27.169688,-0.294331,-0.000000
2.480000,25.590606,-0.335034,-0.000000
2.485000,23.816978,-0.372023,-0.000000
2.490000,21.326573,-0.619315,-0.000000
2.495000,18.309546,-0.584610,-0.000000
2.500000,15.724245,-0.447944,-0.000000
2.505000,13.300035,-0.518607,-0.000000
2.510000,10.616875,-0.551639,-0.000000
2.515000,8.105834,-0.451098,-0.000000
2.520000,4.831092,-0.852185,-0.000000
2.525000,0.883221,-0.724259,-0.000000
2.530000,-2.459594,-0.610673,0.000000
2.535000,-5.656756,-0.664765,0.000000
2.540000,-8.771923,-0.579189,0.000000
2.545000,-11.111243,-0.356371,0.000000
2.550000,-12.834205,-0.331583,0.000000
2.555000,-14.051861,-0.156030,0.000000
2.560000,-14.090972,0.137704,0.000000
2.565000,-12.966190,0.309467,0.000000
2.570000,-10.575364,0.641588,0.000000
2.575000,-7.168001,0.717340,0.000000
2.580000,-3.267909,0.837891,0.000000
2.585000,0.437360,0.642339,-0.000000
2.590000,3.970695,0.766625,-0.000000
2.595000,7.622124,0.691217,-0.000000
2.600000,11.199204,0.735994,-0.000000
2.605000,15.491135,0.974895,-0.000000
2.610000,20.449377,1.003743,-0.000000
2.615000,25.524933,1.021881,-0.000000
2.620000,30.224548,0.855369,-0.000000
2.625000,34.262869,0.757478,-0.000000
2.630000,37.300383,0.457766,-0.000000
2.635000,39.903400,0.580552,-0.000000
2.640000,42.215418,0.344725,-0.000000
2.645000,44.238374,0.462237,-0.000000
2.650000,46.115286,0.288945,-0.000000
2.655000,47.328261,0.196630,-0.000000
2.660000,47.870843,0.022135,-0.000000
2.665000,47.938492,0.005771,-0.000000
2.670000,47.720118,-0.091319,-0.000000
2.675000,47.621287,0.051436,-0.000000
2.680000,47.604363,-0.056507,-0.000000
2.685000,46.799721,-0.262082,-0.000000
2.690000,45.106290,-0.411675,-0.000000
2.695000,42.427502,-0.654534,-0.000000
2.700000,39.201607,-0.632296,-0.000000
2.705000,36.537337,-0.431976,-0.000000
2.710000,34.546053,-0.362665,-0.000000
2.715000,31.820313,-0.721467,-0.000000
2.720000,28.292348,-0.686188,-0.000000
2.725000,25.417063,-0.462663,-0.000000
2.730000,23.052752,-0.480279,-0.000000
2.735000,20.843156,-0.401776,-0.000000
2.740000,18.658559,-0.469101,-0.000000
2.745000,16.218464,-0.504045,-0.000000
2.750000,14.024579,-0.372303,-0.000000
2.755000,12.518011,-0.229891,-0.000000
2.760000,10.914837,-0.408157,-0.000000
2.765000,8.726814,-0.464342,-0.000000
2.770000,6.339318,-0.488070,-0.000000
2.775000,3.835683,-0.510736,-0.000000
2.780000,1.107159,-0.577480,-0.000000
2.785000,-1.944692,-0.639844,0.000000
2.790000,-5.082425,-0.612562,0.000000
2.795000,-7.711826,-0.438287,0.000000
2.800000,-9.610910,-0.320683,0.000000
2.805000,-10.865168,-0.181179,0.000000
2.810000,-11.171904,0.056581,0.000000
2.815000,-10.414266,0.243992,0.000000
2.820000,-9.560795,0.097668,0.000000
2.825000,-8.693116,0.247165,0.000000
2.830000,-8.373644,-0.116729,0.000000
2.835000,-9.319423,-0.259615,0.000000
2.840000,-10.692054,-0.288055,0.000000
2.845000,-12.008199,-0.237764,0.000000
2.850000,-12.904550,-0.121117,0.000000
2.855000,-13.242749,-0.014953,0.000000
2.860000,-12.945174,0.132241,0.000000
2.865000,-12.284961,0.131025,0.000000
2.870000,-10.993693,0.381941,0.000000
2.875000,-8.997093,0.414369,0.000000
2.880000,-6.884292,0.428500,0.000000
2.885000,-4.126028,0.670052,0.000000
2.890000,-0.830139,0.645347,0.000000
2.895000,2.385515,0.637940,-0.000000
2.900000,5.513376,0.610534,-0.000000
2.905000,8.092750,0.420491,-0.000000
2.910000,10.332061,0.472814,-0.000000
2.915000,13.177384,0.661207,-0.000000
2.920000,16.406653,0.627958,-0.000000
2.925000,19.775786,0.716044,-0.000000
2.930000,23.377330,0.721459,-0.000000
2.935000,26.837664,0.660315,-0.000000
2.940000,30.077302,0.633156,-0.000000
2.945000,33.211781,0.618298,-0.000000
2.950000,36.190090,0.571159,-0.000000
2.955000,39.321468,0.678122,-0.000000
2.960000,42.201719,0.473638,-0.000000
2.965000,44.195226,0.323841,-0.000000
2.970000,46.102539,0.437042,-0.000000
2.975000,48.087751,0.356600,-0.000000
2.980000,49.297347,0.128808,-0.000000
2.985000,49.993836,0.149749,-0.000000
2.990000,50.383002,0.007563,-0.000000
2.995000,50.032430,-0.145353,-0.000000
3.000000,49.233257,-0.172528,-0.000000
3.005000,48.483702,-0.126189,-0.000000
3.010000,47.508656,-0.260988,-0.000000
3.015000,46.421775,-0.172727,-0.000000
3.020000,45.330309,-0.261334,-0.000000
3.025000,43.744851,-0.369708,-0.000000
3.030000,41.720773,-0.436746,-0.000000
3.035000,39.298780,-0.528324,-0.000000
3.040000,36.146583,-0.727269,-0.000000
3.045000,32.879953,-0.577004,-0.000000
3.050000,30.514378,-0.368243,-0.000000
3.055000,28.468679,-0.446953,-0.000000
3.060000,26.101506,-0.496808,-0.000000
3.065000,23.411531,-0.575564,-0.000000
3.070000,20.104119,-0.742497,-0.000000
3.075000,16.654874,-0.634550,-0.000000
3.080000,13.260634,-0.718970,-0.000000
3.085000,9.541816,-0.764461,-0.000000
3.090000,5.785791,-0.734517,-0.000000
3.095000,2.714497,-0.493068,-0.000000
3.100000,-0.123282,-0.638101,0.000000
3.105000,-3.209863,-0.594005,0.000000
3.110000,-5.841153,-0.457248,0.000000
3.115000,-8.061633,-0.429188,0.000000
3.120000,-10.188110,-0.419614,0.000000
3.125000,-12.301700,-0.423961,0.000000
3.130000,-14.307673,-0.377137,0.000000
3.135000,-15.718645,-0.187762,0.000000
3.140000,-16.488008,-0.120087,0.000000
3.145000,-16.659520,0.049935,0.000000
3.150000,-16.274801,0.102874,0.000000
3.155000,-14.831227,0.469823,0.000000
3.160000,-12.601924,0.419986,0.000000
3.165000,-9.940713,0.639926,0.000000
3.170000,-6.688492,0.657594,0.000000
3.175000,-3.782089,0.503435,0.000000
3.180000,-1.592869,0.371255,0.000000
3.185000,0.524735,0.472907,-0.000000
3.190000,2.583514,0.349723,-0.000000
3.195000,3.987922,0.211930,-0.000000
3.200000,4.987613,0.187279,-0.000000
3.205000,6.125056,0.266040,-0.000000
3.210000,6.866431,0.031899,-0.000000
3.215000,6.739567,-0.081453,-0.000000
